,year,month,day,score,19대 대선,20대 대통령 선거,4.15 총선,4.7 재보선,6.13 지방선거,IT/과학,경제,국제,국회의원 선거,기타,대통령 선거,문화,사회,새정부,정치,정치인(공직자)과 관련된 사실,정치인(공직자)의 발언,지방 선거,코로나 바이러스,코로나백신
year,1.0,-0.04906752388554686,-0.007095584703362212,-0.00115054869913226,-0.39043368921144206,0.2748608088668764,0.06695270336898142,0.09159447576146762,-0.12036945574155543,-0.0019990378682934224,-0.04044688514575565,0.042135287354428876,0.0611571521311336,0.14072209341573175,-0.11342384143056226,0.028689723954834934,0.24145917634857436,-0.13948556164170484,-0.13659132772938903,-0.057213296230823836,-0.10473505324139136,0.08709769827462314,0.3049137694541197,0.23595038539488958
month,-0.04906752388554686,1.0,-0.004520237234861507,-0.004836906365252295,-0.14812327988677498,0.09595392826682553,-0.0828719961897624,-0.07021415122301426,-0.030418481244147286,0.011247681376927684,0.010149759564283206,-0.012879406130622386,-0.08376139150072533,-0.029873091181176103,-0.048665301625997213,-0.038392501793344275,-0.016435399716787494,0.0016290323554573054,0.005793056948736455,0.01163877441620414,0.028496890421988996,-0.06838713762797494,-0.10390522702186869,-0.02994894643323822
day,-0.007095584703362212,-0.004520237234861507,1.0,0.003267947971528757,0.001399030488857376,-0.007904898009117384,-0.03940396815663569,-0.009479874785166908,-0.012539915591721686,-0.021629972308584062,0.02168950380314687,-0.02837904240671346,-0.04213364732595895,-0.00719804308038545,-0.00427810403039979,-0.008111314383955149,-0.017209103200054417,0.015194532050969201,0.006619662612992184,0.0064049595541195905,0.003574579930094058,-0.004197347701317182,-0.03465227927202245,-0.0362945359274345
score,-0.00115054869913226,-0.004836906365252295,0.003267947971528757,1.0,0.04618430438056408,0.06532511469603079,-0.008781204412626135,0.011406739515302633,0.06219473067115089,-0.013954085684208542,0.06838421202875808,-0.05999551306082421,-0.0043771363815874285,-0.09756388682507999,0.07964911431310151,-0.019588565383436594,-0.04691502327717261,0.013359286329954463,0.052760025029061006,0.018177322933972288,0.08395963494989199,0.013561001707832898,-0.12070831576674901,-0.07205681261989776
19대 대선,-0.39043368921144206,-0.14812327988677498,0.001399030488857376,0.04618430438056408,1.0,-0.04494285563373639,-0.030576645352315718,-0.017983656032873635,-0.027299098201905,-0.05928672135423447,-0.07602560045527701,-0.04719479112856019,-0.03005362904164896,-0.2293084347546765,0.736652119335451,-0.04210802025779442,-0.17908264866461085,-0.018409609975525116,0.20200837908180005,0.09139809618671053,0.17400845730816286,-0.017100758904990538,-0.08697449539867279,-0.04675093819893802
20대 대통령 선거,0.2748608088668764,0.09595392826682553,-0.007904898009117384,0.06532511469603079,-0.04494285563373639,1.0,-0.014884295874936058,-0.015684693428125833,-0.023809284684854007,-0.019827135825628006,0.030453697287108387,0.011117252645609242,-0.026211686714826665,-0.19735422054553037,0.6424812971197322,-0.010645215592730649,0.02438382853793585,-0.01605619502895612,0.1699062096931571,0.06552917083770984,0.1610496194784226,-0.014914662531510378,-0.057191688576284525,-0.032883926262951585
4.15 총선,0.06695270336898142,-0.0828719961897624,-0.03940396815663569,-0.008781204412626135,-0.030576645352315718,-0.014884295874936058,1.0,-0.01067100213479983,-0.0161985268545024,-0.03517909422755062,-0.06405515130428092,-0.0255820459004478,0.9656409794212385,-0.02282028349911954,-0.033530636552351986,0.01257094540661001,-0.10258906461598477,-0.010923751376836792,0.11986616294756329,0.08370859938769146,-0.027359063528129928,-0.01014711549466243,-0.051608250534586717,-0.02774070858633114
4.7 재보선,0.09159447576146762,-0.07021415122301426,-0.009479874785166908,0.011406739515302633,-0.017983656032873635,-0.015684693428125833,-0.01067100213479983,1.0,-0.00952716466551731,-0.02069058665025874,0.010960456539446514,-0.00833049391552136,0.018505525381384762,-0.07258026452149759,-0.024412684849256912,0.02737885298474037,0.011717593863500887,-0.006424805111420929,0.07049929184811947,0.024525068260078785,0.05759208499154828,0.9509055819200993,-0.030353396043888887,-0.016315699632071648
6.13 지방선거,-0.12036945574155543,-0.030418481244147286,-0.012539915591721686,0.06219473067115089,-0.027299098201905,-0.023809284684854007,-0.0161985268545024,-0.00952716466551731,1.0,-0.031408205082878185,-0.03780943652915082,-0.0466264090624698,-0.01592144957358889,-0.08283281601809682,-0.03705833117880928,-0.022307479747256168,-0.05952298875437045,-0.009752821414297994,0.10701756571681048,0.03602678612446727,0.070319632455023,-0.009059434060312331,-0.046076300494668106,-0.024767148886440098
IT/과학,-0.0019990378682934224,0.011247681376927684,-0.021629972308584062,-0.013954085684208542,-0.05928672135423447,-0.019827135825628006,-0.03517909422755062,-0.02069058665025874,-0.031408205082878185,1.0,-0.05216186807347115,0.0140694628347933,-0.03457735260862917,0.16252625461131479,-0.05889954443690898,-0.007802090122816465,-0.036339121645169586,0.039128239180155615,-0.19075220555844416,-0.08623612608506616,-0.1220392583365886,-0.019674794338932485,0.12899681075474873,0.13066705618845229
경제,-0.04044688514575565,0.010149759564283206,0.02168950380314687,0.06838421202875808,-0.07602560045527701,0.030453697287108387,-0.06405515130428092,0.010960456539446514,-0.03780943652915082,-0.05216186807347115,1.0,-0.027610229597494037,-0.06295948209242516,0.0044170590713792654,-0.037701637608731006,-0.06686057593768105,-0.16683842225461365,0.03747109162159426,-0.02707348218814415,-0.0978638020224057,0.05202437329522898,0.005067464850833983,-0.13636159479846235,-0.09793874983487243
국제,0.042135287354428876,-0.012879406130622386,-0.02837904240671346,-0.05999551306082421,-0.04719479112856019,0.011117252645609242,-0.0255820459004478,-0.00833049391552136,-0.0466264090624698,0.0140694628347933,-0.027610229597494037,1.0,-0.02424147509724206,0.057732456566127785,-0.028676123066644313,0.09023687840530231,-0.06325019053589073,0.07792613688729262,-0.02049019260908879,-0.07770600789051557,-0.006123646200518778,-0.005680849928850948,0.08354701383658868,0.09409377938083822
국회의원 선거,0.0611571521311336,-0.08376139150072533,-0.04213364732595895,-0.0043771363815874285,-0.03005362904164896,-0.026211686714826665,0.9656409794212385,0.018505525381384762,-0.01592144957358889,-0.03457735260862917,-0.06295948209242516,-0.02424147509724206,1.0,-0.01814672758337078,-0.04079758715519748,0.013628823928807479,-0.10433436349335498,-0.010736899612101908,0.11781584128551577,0.07895446298379225,-0.02910447631477408,-0.009973548157605767,-0.05072548669690772,-0.02726620123299251
기타,0.14072209341573175,-0.029873091181176103,-0.00719804308038545,-0.09756388682507999,-0.2293084347546765,-0.19735422054553037,-0.02282028349911954,-0.07258026452149759,-0.08283281601809682,0.16252625461131479,0.0044170590713792654,0.057732456566127785,-0.01814672758337078,1.0,-0.30949720490359894,0.12751324722272608,0.33221419902152033,-0.03794942481387545,-0.8034188446876227,-0.3436679194977785,-0.7952848635718545,-0.06749864775425057,0.2225927927956756,0.09526758036537156
대통령 선거,-0.11342384143056226,-0.048665301625997213,-0.00427810403039979,0.07964911431310151,0.736652119335451,0.6424812971197322,-0.033530636552351986,-0.024412684849256912,-0.03705833117880928,-0.05889954443690898,-0.037701637608731006,-0.028676123066644313,-0.04079758715519748,-0.30949720490359894,1.0,-0.03950641226569397,-0.12086330585783936,-0.02499091428954673,0.26997488211173687,0.11446968626724643,0.24250128046679623,-0.023214158292814625,-0.10543233843955699,-0.0581225117513287
