,19대 대선,20대 대통령 선거,4.15 총선,4.7 재보선,6.13 지방선거,IT/과학,경제,국제,국회의원 선거,기타,대통령 선거,문화,사회,새정부,정치,정치인(공직자)과 관련된 사실,정치인(공직자)의 발언,지방 선거,코로나 바이러스,코로나백신,JTBC,KBS,MBC,MBN,SBS,TV조선,YTN,국민일보,노컷뉴스,뉴스1,뉴스톱,뉴스포스트,뉴시스,동아사이언스,동아일보,매일경제,머니투데이,문화일보,서울신문,세계일보,시사위크,시사저널,아시아경제,아이뉴스24,에너지경제,연합뉴스,오마이뉴스,이데일리,전북일보,조선일보,중부일보,중앙일보,채널A,파이낸셜뉴스,한겨레,한국경제신문,한국일보,SNS 등 온라인 매체,SNS 이용자,"SNS, 온라인 커뮤니티","SNS, 인터넷 커뮤니티","SNS, 인터넷 커뮤니티, 유튜브","SNS, 인터넷 커뮤니티, 유튜브, 언론사 자체 제보",SNS와 커뮤니티 이용자,가로세로연구소,강효상,관련인 없음,김문수,김성태,김진태,나경원,네이버 카페 이용자,네이버뉴스 댓글 이용자,다수 언론 매체,"다수 언론 매체, 온라인 커뮤니티",더불어민주당,문재인,민경욱,박원순,발언인 없음,배현진,보수 유튜버,심상정,심재철,안철수,언론 보도,언론 보도 및 온라인 커뮤니티 이용자,언론보도,언론보도 및 댓글,언론사 자체 문제 제기,언론사 자체 문제제기,오세훈,온라인 뉴스 댓글 이용자,온라인 커뮤니티,온라인 커뮤니티 및 기사 댓글,온라인 커뮤니티 이용자,"온라인 커뮤니티, 언론 보도",원희룡,유승민,유튜버 및 온라인 커뮤니티 이용자,유튜브 이용자,윤석열,이낙연,이명박,이언주,이재명,이준석,이해찬,인터넷 뉴스 댓글 이용자,인터넷 루머,인터넷 이용자,인터넷 커뮤니티,인터넷 커뮤니티 및 SNS,인터넷 커뮤니티 이용자,자유한국당,전광훈,전두환,조국,주호영,청와대,청와대 국민청원,추미애,트럼프,페이스북 이용자,하태경,한국유치원총연합회,홍남기,홍준표,황교안
19대 대선,1.0,-0.060360432375097556,-0.03956299600653806,-0.021911514982758493,-0.03430255134406593,-0.07190160901107588,-0.08361503709086489,-0.04752039234872447,-0.039111943130906955,-0.3067707175398709,0.7581264154285255,-0.04962991112145247,-0.2151781402847134,-0.02110967792792795,0.2617956492879481,0.08018317717626688,0.2670469754776442,-0.021109677927927843,-0.10662169204233936,-0.055216195940215984,0.05629303529045103,0.04662559804988602,-0.025229049440865098,-0.015791641039291482,0.1851131763146745,-0.02687871413984037,-0.011187458389730103,-0.008259330339471413,-0.05783585294412587,-0.029941947417266173,-0.07430634362889574,-0.06516894083561459,-0.021109677927927884,-0.010117854611475675,0.13380214143252697,0.0764304089189135,-0.06775380745023328,-0.03219218329094208,0.09728416299369484,-0.04088870839564713,-0.03772903313211851,-0.008259330339471422,-0.03430255134406582,-0.04301514526162292,-0.005838911789811492,-0.09396318819561027,-0.0609781394274597,-0.07793892972488328,-0.016541058873202348,0.35537050959276106,-0.01546924592847731,0.08409158255477779,-0.024161755683806595,-0.031086405808632422,-0.0101178546114757,-0.030519280610059766,0.1211309526067679,-0.023435025366417065,-0.022685717500921458,-0.05879303266170794,-0.039111943130906913,-0.019409283038724204,-0.018501836008418475,-0.019409283038724176,-0.01850183600841842,-0.015469245928477163,-0.019220423321651196,-0.017548411227800615,-0.021911514982758347,0.012869686030352124,-0.03531319948108389,-0.020276927186449543,-0.022685717500921392,-0.02486788878679872,-0.016541058873202376,0.007815839698428065,0.2938040738293265,-0.01940928303872418,-0.015469245928477232,-0.10256586672671117,-0.015469245928477338,-0.015469245928477243,0.06615399654948131,-0.01654105887320237,0.2679986871923469,-0.07691356434560576,-0.019409283038724183,-0.016541058873202393,-0.01754841122780066,-0.044650082761819726,-0.04852091175031618,-0.019409283038724176,-0.015469245928477302,-0.06004963807284949,-0.0185018360084185,-0.04000937230077593,-0.016541058873202383,-0.01754841122780068,0.22687696106831673,-0.015469245928477288,-0.024161755683806553,-0.03326314299791294,-0.017548411227800705,-0.01754841122780067,-0.01940928303872411,-0.03198924885158394,-0.015469245928477312,-0.017548411227800653,-0.025555132982459823,-0.06943546585836839,-0.023435025366417023,-0.020276927186449516,-0.026878714139840342,-0.03219218329094203,-0.0343025513440658,-0.016541058873202334,-0.024161755683806352,-0.01940928303872414,-0.021109677927927832,-0.02191151498275848,-0.042597577463051664,0.00781583969842805,-0.021109677927927707,-0.018501836008418506,-0.020276927186449425,-0.01850183600841844,-0.020276927186449484,0.35992405099262437,-0.026878714139840262
20대 대통령 선거,-0.060360432375097556,1.0,-0.03158029218816231,-0.017490385342061963,-0.027381257831586348,-0.03980798898222832,0.059193776364051855,0.04449553987936828,-0.031220249141817,-0.23732093464274032,0.605157751724377,-0.002679904932857433,0.02142094472796999,-0.01685033653295099,0.2089726242354535,0.04135207874807461,0.22490185628672651,-0.016850336532950965,-0.05957014144850621,-0.03292569870292157,-0.04353919150631217,-0.06098241355780518,-0.03721434924830636,-0.037827357735736825,0.011706022277277057,-0.02145534291786127,0.019839789482503072,-0.006592828949454642,-0.024797238560792145,-0.023900501568778893,-0.0422225803775164,0.3316016569090886,-0.016850336532950937,-0.00807635510958127,-0.00807635510958126,-0.015245256057688955,-0.05408298794624352,-0.007062394491843822,-0.026969416355832568,-0.017845853599545294,-0.01413640303629472,-0.006592828949454614,0.0076585409736559425,-0.03433589447204201,-0.004660783029492513,-0.05390440676067232,0.2160525656065305,-0.004794433171286515,-0.013203536765289488,-0.02818798549855025,0.026027616778887458,-0.04242914167504998,-0.019286590533929938,-0.024814040330872856,-0.008076355109581263,-0.024361345103361944,-0.012110780892722096,-0.018706494027553977,0.008154686740056764,-0.015354073936665645,0.015088395808511798,-0.015493033677842763,-0.014768684026527224,-0.015493033677842766,-0.014768684026527262,-0.012347985634634994,-0.04434102038834529,-0.014007633646359586,-0.017490385342061977,-0.013203536765289478,-0.02818798549855025,-0.01618561155278393,-0.018108375489530953,0.0281319931832778,-0.013203536765289483,0.04948957059085299,-0.0491635054102935,-0.015493033677842763,-0.012347985634634996,-0.08187094928873447,-0.012347985634634986,-0.01234798563463499,0.23541723320773103,-0.01320353676528953,0.14198547816864354,-0.053098707387383245,-0.015493033677842742,-0.013203536765289478,0.019851777095766722,0.01877065375875231,-0.0010031230656496971,-0.015493033677842766,-0.012347985634634965,-0.04793330403543238,-0.014768684026527222,-0.03193660225617561,0.022701669217771003,-0.014007633646359608,-0.0021470990723835566,-0.012347985634634987,0.005394461596860371,0.29836353952658223,-0.014007633646359617,-0.014007633646359574,-0.015493033677842756,0.3284487888753159,-0.012347985634634996,-0.014007633646359634,-0.020398823343916034,-0.05542533481706157,-0.018706494027553994,-0.016185611552783932,-0.021455342917861223,-0.02569670290730326,-0.02738125783158646,-0.013203536765289474,-0.019286590533929927,-0.015493033677842796,-0.01685033653295097,-0.01749038534206196,-0.0340025801526441,-0.014768684026527224,-0.01685033653295097,-0.014768684026527229,-0.01618561155278396,-0.014768684026527219,-0.01618561155278395,0.0012868361109056605,-0.021455342917861272
4.15 총선,-0.03956299600653806,-0.03158029218816231,1.0,-0.011464000806698854,-0.017946932313426565,-0.0376185811138355,-0.06571122077941093,-0.023728546990774518,0.9885991223830335,-0.033716019035633295,-0.0521852229409197,0.010617263809645026,-0.11196534536940349,-0.011044483459283496,0.13697024313420805,0.08372216947850196,-0.015639925108959934,-0.011044483459283445,-0.05578396402744275,-0.0288888520624687,-0.028537583180116045,0.022010404437643603,-0.024391991454721224,-0.0247937853350147,-0.021284589157330464,-0.014062815867575691,0.045162417020294825,-0.004321242495053281,0.001487934844484635,-0.015665485002555483,-0.02618100105365767,-0.019847643401008894,-0.01104448345928346,-0.005293613587161304,-0.005293613587161297,0.0029683741437725674,0.03337056411885331,-0.016842797748451172,-0.017676992519766344,0.0005843397823625899,0.05148357847468556,-0.004321242495053277,0.03411090141663038,-0.02250532016465061,-0.0030548909795289473,0.03443160202836053,-0.0016497095318332529,-0.02859077615133169,-0.008654203619204616,-0.0184756986295477,-0.008093436165533482,-0.03409608102858517,-0.012641316078252677,0.09830841726730079,-0.005293613587161301,0.1006809439267431,-0.02479378533501475,-0.01226109421995751,-0.011869059895481716,-0.030760236085567112,-0.02046318330599651,-0.010154844910927675,0.03805344223104168,-0.01015484491092767,0.038053442231041644,-0.008093436165533499,-0.029063138607894713,-0.009181245597581374,-0.011464000806698852,-0.008654203619204645,-0.018475698629547718,-0.010608792217504902,-0.011869059895481718,-0.013010761571579248,-0.008654203619204628,-0.009680072924798628,-0.032224016490268015,0.17193485898683783,-0.008093436165533487,0.07327422837678199,-0.008093436165533506,0.10593408669998292,-0.017946932313426665,-0.00865420361920463,-0.008302472483110414,0.00905904279029694,-0.010154844910927692,-0.008654203619204628,-0.0091812455975814,-0.0031511915220945002,-0.02538591110131271,0.12641243301239666,-0.008093436165533473,-0.0314176860819898,-0.0096800729247986,-0.020932713995016845,-0.008654203619204635,-0.009181245597581393,-0.015044052681742586,-0.00809343616553348,0.02402676284677046,-0.017403118792172448,-0.009181245597581404,-0.00918124559758137,-0.010154844910927668,-0.022721888093126984,0.0489203252672246,-0.009181245597581402,-0.013370324478099308,-0.03632830670267212,0.1011029394220665,-0.010608792217504924,0.2170882093927973,0.010841771291410417,-0.017946932313426613,-0.008654203619204645,-0.01264131607825264,-0.010154844910927666,-0.01104448345928344,-0.011464000806698857,-0.022286850671169884,-0.009680072924798605,-0.011044483459283452,0.08578695738688193,-0.01060879221750492,-0.0096800729247986,-0.010608792217504935,-0.03222401649026799,-0.014062815867575686
4.7 재보선,-0.021911514982758493,-0.017490385342061963,-0.011464000806698854,1.0,-0.009939704167379352,-0.0208346229281955,0.008789531527371811,0.005518666983285924,-0.011333301136500865,-0.07098935213697487,-0.02890219168840472,0.05074455477702266,-3.5908929869281776e-05,-0.006116861441811079,0.07585940999340136,0.008902703879029167,0.06797402444449552,0.963405677085241,-0.030895313473807137,-0.015999761865781597,-0.01580521559387202,-0.022137301138815166,-0.013509226807067815,-0.013731755773948294,-0.0194682264300037,0.050996330574306206,-0.014696241911602919,-0.002393270966102912,-0.016758848715552506,-0.008676150544537863,0.0010694420182331542,-0.01888372635347767,-0.006116861441811063,-0.0029318076267239816,-0.0029318076267239785,-0.011201198748706776,0.004869535924576869,-0.00932819180720718,-0.009790201085452742,-0.011848146837896475,0.03133117782244611,-0.002393270966102903,0.03639685790702151,-0.012464315389512613,-0.0016919165944252676,0.009975524064900987,0.09004585684642433,-0.0008896739733528923,-0.004793032161535701,-0.010232555372483996,-0.004482457490675881,-0.01888372635347771,-0.007001249010682727,-0.00900777537698703,-0.00293180762672398,0.043070837520012374,0.020275795634970596,-0.006790667462626318,-0.006573543714639986,0.0108013062492721,-0.011333301136500848,-0.005624145258781957,-0.0053611981987124364,-0.005624145258781952,-0.005361198198712449,-0.004482457490675893,-0.01609628848501858,-0.005084928361809192,-0.0063492063492063665,-0.0047930321615357,-0.010232555372484005,-0.005875558807134221,-0.006573543714639989,0.05624575766276809,-0.004793032161535695,-0.005361198198712449,-0.01784690471910877,-0.00562414525878196,-0.004482457490675893,-0.0297200742507084,-0.004482457490675885,-0.004482457490675889,-0.009939704167379377,-0.004793032161535711,0.11389738839889384,-0.022286915873570203,-0.005624145258781944,-0.0047930321615356946,-0.00508492836180922,-0.012938064263790357,-0.01405969788929696,0.4806087766595485,-0.004482457490675875,0.009906127213522692,0.0796137932508798,-0.011593345363829654,-0.004793032161535691,-0.005084928361809214,-0.008331977327574904,-0.00448245749067589,-0.007001249010682742,-0.009638519238997856,-0.005084928361809216,-0.005084928361809188,-0.005624145258781954,-0.01258425907145245,-0.004482457490675882,-0.005084928361809212,-0.007405002014453128,-0.02012001913308844,-0.006790667462626326,-0.005875558807134218,-0.007788530487712185,-0.009328191807207191,-0.009939704167379389,-0.004793032161535703,-0.007001249010682721,-0.005624145258781942,-0.006116861441811072,-0.0063492063492063535,-0.012343318547441124,-0.005361198198712438,-0.006116861441811071,-0.0053611981987124364,-0.005875558807134222,-0.0053611981987124364,-0.005875558807134218,-0.017846904719108807,-0.007788530487712213
6.13 지방선거,-0.03430255134406593,-0.027381257831586348,-0.017946932313426565,-0.009939704167379352,1.0,-0.032616673164362946,-0.03755681927966499,-0.04613488707127535,-0.017742321534521162,-0.08775401158395361,-0.045246479539532376,-0.022513579494103413,-0.06609626199782734,-0.009575967423401107,0.11875816474930108,0.05106407543131265,0.056862373986546345,-0.009575967423401105,-0.04836671848387457,-0.025047681701865842,-0.024743118850496224,0.036470236721606084,0.0011136196417457765,0.00042480503166195355,-0.014564695153542721,-0.012192971009069676,-0.023007016773338006,-0.003746673849781949,0.04662724574003501,0.020512098658559817,-0.004569622451865977,-0.02956253793118183,0.08657367833463996,-0.004589754826435176,-0.004589754826435174,-0.017535514796440978,0.07982729224298667,-0.014603316049383244,-0.015326593148247664,0.006671483122086301,-0.01711499310520513,-0.0037466738497819625,0.014308789877507111,-0.01951292820025551,-0.0026487011918535706,-0.018642793535739118,0.0070561775943918,0.020583006419184518,-0.007503508175687979,-0.016019100291414155,-0.007017302470527062,-0.029562537931181875,-0.010960479175014134,-0.014101703036419128,-0.004589754826435201,-0.01384443845639745,-0.02149711043945071,-0.010630813044214782,-0.010290905077140042,-0.026670239470903054,-0.017742321534521165,-0.008804618560499208,-0.008392974042267451,-0.008804618560499201,-0.00839297404226746,-0.007017302470527041,-0.02519879445308596,0.22294526403571618,0.03639685790702151,-0.00750350817568791,-0.016019100291414123,-0.009198207326850364,-0.010290905077140053,-0.011280801806838419,-0.0075035081756879285,-0.008392974042267496,-0.027939390130787268,-0.008804618560499218,0.05840872350468135,0.06552341677222219,-0.007017302470527117,-0.0070173024705270344,-0.01556064073226545,-0.007503508175687934,0.12210298395403701,-0.020746755580029624,-0.008804618560499224,-0.0075035081756879285,-0.007960472671520318,-0.02025458367669749,-0.022010504938118472,-0.00880461856049921,-0.007017302470527052,-0.027240272444510952,-0.008392974042267467,-0.01814942165820933,-0.00750350817568793,-0.007960472671520313,-0.013043738888051616,-0.007017302470527054,-0.010960479175014113,-0.015089134700939208,-0.007960472671520316,-0.007960472671520316,-0.00880461856049925,-0.019700700442903802,-0.007017302470527056,-0.007960472671520304,-0.011592555877745717,-0.0005851013960791211,-0.010630813044214775,-0.009198207326850314,-0.012192971009069664,-0.014603316049383202,0.10391708170682484,-0.007503508175687925,-0.010960479175014127,-0.008804618560499203,-0.0095759674234011,-0.00993970416737937,-0.019323507231833372,-0.008392974042267442,-0.00957596742340109,-0.008392974042267493,-0.00919820732685033,-0.008392974042267557,-0.009198207326850326,0.04087027324348238,-0.012192971009069667
IT/과학,-0.07190160901107588,-0.03980798898222832,-0.0376185811138355,-0.0208346229281955,-0.032616673164362946,1.0,-0.04633454382167452,-0.0004871642487194958,-0.03718969627443271,0.19161148702041586,-0.08335234560951764,-0.005051402557067691,-0.055358495961893545,0.004055757511018313,-0.21565325356608092,-0.09105601664992381,-0.14658896452057968,-0.020072194008953874,0.11167477520695528,0.16691846821132528,-0.0036219629061870237,-0.008387768554244411,-0.04432989433583467,-0.023055625449536394,-0.03193843699139241,-0.006539410888392747,0.013714777612990144,-0.00785340645764094,-0.018424511434229775,0.10842187422462578,0.0024647645359634064,-0.04555370965783418,0.004055757511018318,0.14071805555724107,-0.009620589258126293,-0.02339852315320343,-0.03271564734848296,-0.030610024027544327,-0.03212608581104218,-0.0009069517297809217,-0.022201431391470388,-0.00785340645764094,-0.03261667316436301,0.22440696764376405,-0.005551944972652108,0.01296079627115852,0.011715600201727825,0.024152456440643663,0.014994316420145294,-0.033577650662469746,-0.014708974078558826,0.020095702084808494,0.06149947596971164,-0.01306198367335593,-0.009620589258126255,-0.012223848233135813,-0.045060112706534795,-0.022283256872297142,0.0009013140925736594,0.05216957733611305,0.02885058544208944,0.007762597570353916,0.009898890060979848,0.0077625975703539225,-0.01759252050887544,-0.014708974078558784,0.14641363521508177,-0.016685953993041076,0.002420924495177643,-0.01572811029850876,-0.004427100263400693,0.005827107350200907,0.023373403659101354,0.05846667335543304,0.014994316420145277,-0.0175925205088754,-0.04129657000398976,-0.018455368957218894,-0.01470897407855879,-0.013170770269389691,-0.014708974078558793,-0.014708974078558796,-0.017625704284553297,-0.015728110298508798,-0.037490104015363124,0.04753899436757692,0.0077625975703539095,-0.015728110298508794,0.012285980209273559,-0.01917690399076751,-0.013854449854129935,-0.018455368957218943,-0.01470897407855879,0.040078732958761625,0.009898890060979867,-0.03804301921324814,0.014994316420145214,-0.016685953993041104,-0.02734099292394171,-0.014708974078558795,0.04038103939020211,-0.03162834894408178,-0.016685953993041094,-0.01668595399304106,-0.01845536895721884,-0.04129465608204852,-0.01470897407855882,-0.01668595399304107,-0.004314047792615952,0.07360892562621367,0.06477052305662422,0.005827107350200877,-0.025557697600507488,0.04911256202541447,-0.032616673164363064,-0.01572811029850877,-0.022974270348326206,-0.018455368957218988,-0.02007219400895384,-0.02083462292819541,-0.04050402104991953,-0.017592520508875418,-0.02007219400895382,-0.017592520508875376,-0.019280370727655077,-0.017592520508875338,-0.01928037072765503,-0.049930175509817175,-0.02555769760050752
경제,-0.08361503709086489,0.059193776364051855,-0.06571122077941093,0.008789531527371811,-0.03755681927966499,-0.04633454382167452,1.0,-0.01497065207354208,-0.0649620551932434,0.0048370245954365105,-0.028016769943560126,-0.055140945955326315,-0.14450029918677004,0.0586942352689134,-0.026044307312788305,-0.10913881772486857,0.06274906323369969,-0.003809667820093844,-0.1275589286437073,-0.09171003230966492,0.003134157781723763,-0.05753471510738506,0.02387011098833662,-0.04308301321341662,-0.059868792577922075,0.016940464427283124,-0.03743857714403595,0.026021483031329833,-0.0013287712513177351,0.005678305435112104,-0.11868194806051156,0.029937825849472317,-0.0038096678200938497,-0.01680501087629431,0.015649574967480307,0.08285930333678707,-0.07659748681350814,0.07044485302180044,0.012849337979275476,0.04684912597380575,-0.018388905413111698,-0.013718139024087186,-0.05697400986251139,0.053515986821427636,0.04648963971897652,-0.04693780881285172,0.051059640796197826,0.13418679915530363,0.05211353282871726,-0.011455723156410505,-0.025693277484071072,0.029937825849472337,-0.040130895594823704,0.00178623247029607,-0.016805010876294317,0.12334584803243671,0.006794637844495003,-0.03892385009389187,-0.03767930494940388,-0.056822616820867665,-0.03930027015755496,-0.032237388763907374,-0.030730186120705553,-0.03223738876390738,-0.03073018612070556,-0.0044275621774117055,0.07363122912365248,-0.010383535447084407,-0.021332430571837573,-0.027473479798208793,-0.00201634339997718,-0.017418135579955626,0.005981466686484999,-0.014714528931416997,0.0322167796719857,-0.012925934684192343,0.11017459914256657,-0.03223738876390743,0.0168381531292476,0.04088287655270831,-0.02569327748407108,-0.0044275621774117055,0.010986157177450905,-0.007576726641477266,-0.0028753475175362564,0.0975111764505381,-0.01525785739264925,0.07201028598544865,0.008379546928388127,-0.013856473235959753,0.02394355472353239,0.03568073672112515,-0.02569327748407104,-0.03680326105343767,0.00487831675232087,-0.03297359487446466,-0.02747347979820882,-0.010383535447084355,0.009887356188103512,-0.0044275621774117,-0.026453970802178324,-0.015236372934979049,0.08343187643027779,-0.010383535447084409,0.03568073672112518,0.05169460881372223,-0.025693277484071055,-0.029146617822556814,-0.016559282918856683,-0.01987361528977488,-0.03892385009389183,-0.017418135579955703,-0.02000995224782293,-0.03281656120423672,-0.008431033405395463,-0.02747347979820877,-0.04013089559482366,-0.032237388763907394,-0.01943564359234566,-0.02133243057183751,-0.023453554263709007,-0.012925934684192321,0.043068259496661564,-0.030730186120705535,-0.01741813557995565,-0.030730186120705504,0.11266463379967138,-0.0575667572045349,0.01694046442728311
국제,-0.04752039234872447,0.04449553987936828,-0.023728546990774518,0.005518666983285924,-0.04613488707127535,-0.0004871642487194958,-0.01497065207354208,1.0,-0.022795629556715713,0.0548823410387528,-0.008831472160262609,0.06797425908461412,-0.04033673263712185,0.134962767964722,-0.01957587721033182,-0.0708150503894496,-0.008060951138175048,0.007909636158902176,0.07440752430981365,0.062092395905754334,0.042770151818704104,0.042258738621183484,-0.012272373255363551,-0.05545907220945239,-0.024275034287662943,0.006769713203009389,0.024977206852592294,-0.011108307037394526,0.0047419011835561535,0.049835886936061106,-0.022931338370872606,0.06668073038341729,0.026060083559733608,0.024089910589965756,-0.01360791141224435,0.1087847531612219,-0.061308854144405935,-0.03130217531236477,0.00033522451456305337,0.04974503813112312,-0.05074330085245441,-0.011108307037394516,-0.04613488707127545,-0.05785280660596717,-0.007852988348888309,-0.03583314814601398,0.04250929794790108,0.0377320746017349,0.0008644565916766811,-0.003636672217476929,-0.020805213782197234,-0.03826303832840431,0.06282297081859853,-0.04180936301349488,-0.013607911412244393,-0.041046613422976504,-0.00579990969706763,0.017596472135350632,0.0032986856742602292,-0.011324075052286987,-0.022795629556715782,-0.006381650706041908,-0.0248838666925371,-0.026104328863015364,-0.02488386669253717,0.0038961074498496456,0.018068952284528907,0.019987178205601523,-0.029469681690746822,0.0008644565916766566,-0.03652977948886847,0.01050334988279106,-0.030510937933977356,0.028323870367899764,0.04708684639723022,-0.024883866692537213,-0.017888961403964388,0.013341027450931573,-0.0208052137821972,-0.01949344771844354,-0.020805213782197216,0.02859742868189661,-0.02358073099919788,0.0008644565916766264,0.041720283313439466,0.035391007962224205,0.05278638376487835,0.0008644565916766402,0.019987178205601475,-0.03378426021725842,-0.008594511834158314,-0.0063816507060418795,0.05329874991394331,-0.014306586965732887,0.03715804363413692,0.03368724883656065,-0.022246738311100165,0.01998717820560148,0.028286325395283394,0.05329874991394336,-0.0007230906042938915,0.02497603308489382,-0.0018071944913172892,-0.001807194491317263,-0.026104328863015388,0.004517035458665096,-0.020805213782197244,-0.02360156718823612,0.055833677781699675,-0.005853918208308082,0.001224743972523325,-0.008383954322973402,-0.021843607935043623,-0.03130217531236484,-0.023580730999197944,-0.022246738311100172,-0.03249612131573998,0.013341027450931587,-0.010240811241929201,0.023012841320302388,-0.0023520588878289703,0.01647740685857892,0.13496276796472176,0.11988059073636871,-0.027271258528737886,-0.02488386669253715,-0.02727125852873785,-0.037373060891233885,-0.02184360793504362
국회의원 선거,-0.039111943130906955,-0.031220249141817,0.9885991223830335,-0.011333301136500865,-0.017742321534521162,-0.03718969627443271,-0.0649620551932434,-0.022795629556715713,1.0,-0.030272926073075523,-0.0515902656007561,0.011318179395275482,-0.1099704996700781,-0.010918566655021588,0.13540866215506858,0.07536632455196775,-0.013609460847652055,-0.010918566655021538,-0.055147977880576585,-0.028559493795609788,-0.028212229686795532,0.023152067346369515,-0.024113901345311793,-0.02451111442274884,-0.020730363450017174,-0.013902487424919521,0.046258440447289745,-0.0042719765382139415,0.0021842763326602177,-0.015486884725230913,-0.0255972650420146,-0.019301226644564438,-0.010918566655021547,-0.005233261746502564,-0.005233261746502556,0.0034556369606786857,0.03453634762210365,-0.016650775072593757,-0.017475459291412407,0.0010714632464647977,0.028493049703083907,-0.0042719765382139355,0.03489165103914533,-0.022248739763722738,-0.0030200625413381614,0.03591722579115962,-0.0009511549272322265,-0.027991007899485745,-0.008555538102869754,-0.01826505945058419,-0.008001163890309504,-0.03370735578156004,-0.012497193980727125,0.09976185249701858,-0.005233261746502557,0.10215396989295474,-0.024511114422748892,-0.012121306985305665,-0.011733742196184886,-0.030409542398486568,-0.020229885057471256,-0.010039070766878887,0.03869208393851854,-0.010039070766878884,0.0386920839385185,-0.00800116389030951,-0.02873179332146111,-0.009076571340151995,-0.011333301136500858,-0.008555538102869782,-0.018265059450584212,-0.010487842675769294,-0.011733742196184874,-0.012862427471198121,-0.00855553810286976,-0.009569711598059685,-0.03185663442193532,0.1740658716439001,-0.008001163890309498,0.07529086104143426,-0.008001163890309528,0.10728833398369556,-0.0177423215345213,-0.008555538102869766,-0.007802395722323352,0.010063438878696648,-0.010039070766878898,-0.00855553810286976,-0.009076571340152039,-0.023094379101927468,-0.025096489435651376,0.12803963604120547,-0.0080011638903095,-0.031059496887960707,-0.009569711598059655,-0.02069406268456867,-0.008555538102869763,-0.009076571340152037,-0.01487253727825482,-0.008001163890309491,0.024576700996857753,-0.017204707964669358,-0.009076571340152039,-0.009076571340151992,-0.010039070766878877,-0.02246283862775082,0.049643585046693015,-0.009076571340152025,-0.013217891045025342,-0.03591413212392325,0.10249735864137026,-0.010487842675769311,0.21980675193793117,0.011340186962319523,-0.017742321534521228,-0.008555538102869777,-0.012497193980727071,-0.01003907076687888,-0.010918566655021531,-0.011333301136500865,-0.022032761014200264,-0.009569711598059662,-0.010918566655021554,0.0869538794750966,-0.010487842675769308,-0.009569711598059659,-0.010487842675769306,-0.03185663442193532,-0.013902487424919499
기타,-0.3067707175398709,-0.23732093464274032,-0.033716019035633295,-0.07098935213697487,-0.08775401158395361,0.19161148702041586,0.0048370245954365105,0.0548823410387528,-0.030272926073075523,1.0,-0.39970947984947475,0.11105364062491788,0.38872684398562807,-0.0666810817670016,-0.8064145403989041,-0.3905305039843137,-0.7851359936299781,-0.06668108176700178,0.255233422541868,0.13221043035742544,-0.009137843336912215,-0.012672231089266798,0.06598473397376385,0.10229583594379978,-0.05461460662063456,-0.011581185716211277,0.012787450111120957,0.025441385667879388,0.019367475685383724,0.04977371153713116,0.01117971455580752,-0.11689259673937813,0.029104851517333555,0.031166236331765275,-0.04343773175905112,-0.11955695396377812,-0.01945232669238176,-0.05117142749862269,-0.001615996578708874,0.031733845153580215,-0.005916828472790196,0.02544138566787935,-0.12494956317793195,0.05470352558103581,0.017985720466391752,0.146091106869722,-0.07588844125146031,0.04851607842680436,0.05095176495570132,-0.11544165102294185,-0.0012336631048868742,-0.00694242485344541,0.07442595458703244,0.013893414325904881,0.031166236331765153,-0.01434044549488046,-0.03965759774249985,0.07218739219500789,0.04757620848158249,0.1274712594510433,0.09425989041311139,0.059786815035759173,0.05699158722402633,0.046776425454083066,0.04334926445702363,-0.06641219714640571,0.15698581646685583,-0.07533841994983513,-0.0940699927804832,-0.055767998401486774,-0.15160578457743618,0.05000011581519328,0.04757620848158271,0.01547997190811004,0.050951764955701175,-0.038504672144992216,-0.25156715896611376,-0.08332747036267606,-0.06641219714640569,0.1791933749544642,-0.06641219714640585,0.04765023742625244,-0.1398277838155234,-0.07101367888108537,-0.21619299387881544,0.17703600088024546,0.05978681503575911,0.05095176495570113,0.03967771618273043,0.10288107228261893,0.04266331338355376,-0.08332747036267622,0.015060970405492875,0.14990078784347383,0.056991587224026315,0.06552254745396474,0.03570608447610287,-0.07533841994983528,-0.12344677491070925,0.015060970405492953,0.03250674823418648,-0.1428045310482651,-0.06096140293326449,-0.060961402933264325,-0.08332747036267601,-0.1805186054881104,-0.06641219714640585,-0.060961402933264415,0.03904838448742999,0.1522916567951416,0.05058763177419852,0.05000011581519318,0.08279505778093407,0.08333764918805715,-0.13238867349672806,0.020460403996504565,-0.10373067241256324,-0.07031708078100021,-0.09062756508808548,-0.07098935213697453,0.11309344110925544,-0.06578931767899743,-0.09062756508808546,0.05699158722402651,-0.07459309810273378,0.056991587224026315,-0.07459309810273392,-0.26013583045382693,-0.11539505356307177
